syllable,latin,count,first_file
टं,ṭaṃ,7635,s0101m.mul.xml
त्तु,ttu,7623,s0101m.mul.xml
य्हं,yhaṃ,7612,s0101m.mul.xml
धी,dhī,7543,s0101m.mul.xml
म्मि,mmi,7478,s0101m.mul.xml
द्व,dva,7345,s0101m.mul.xml
द्दा,ddā,7339,s0101m.mul.xml
य्यं,yyaṃ,7231,s0101m.mul.xml
धं,dhaṃ,7189,s0101m.mul.xml
म्मु,mmu,7177,s0101m.mul.xml
स्मि,smi,7158,s0101m.mul.xml
प्फ,ppha,7125,s0101m.mul.xml
य्यो,yyo,7113,s0101m.mul.xml
म्हे,mhe,7020,s0101m.mul.xml
खु,khu,7007,s0101m.mul.xml
लु,lu,6959,s0101m.mul.xml
थो,tho,6845,s0101m.mul.xml
गं,gaṃ,6817,s0101m.mul.xml
न्दो,ndo,6771,s0101m.mul.xml
य्ह,yha,6737,s0101m.mul.xml
टा,ṭā,6643,s0101m.mul.xml
द्धे,ddhe,6216,s0101m.mul.xml
सिं,siṃ,6141,s0101m.mul.xml
छि,chi,6064,s0101m.mul.xml
फु,phu,5881,s0101m.mul.xml
स्म,sma,5790,s0101m.mul.xml
की,kī,5742,s0101m.mul.xml
हू,hū,5657,s0101m.mul.xml
ङ्गे,ṅge,5632,s0101m.mul.xml
म्भि,mbhi,5582,s0101m.mul.xml
ञि,ñi,5468,s0101m.mul.xml
जु,ju,5464,s0101m.mul.xml
स्सी,ssī,5330,s0101m.mul.xml
न्दा,ndā,5323,s0101m.mul.xml
घो,gho,5315,s0101m.mul.xml
ङ्घा,ṅghā,5272,s0101m.mul.xml
ण्डा,ṇḍā,5255,s0101m.mul.xml
न्थ,ntha,5140,s0101m.mul.xml
ज्झे,jjhe,5124,s0101m.mul.xml
ट्ठु,ṭṭhu,5100,s0101m.mul.xml
ब्भा,bbhā,5001,s0101m.mul.xml
ङ्घो,ṅgho,4999,s0101m.mul.xml
हिं,hiṃ,4977,s0101m.mul.xml
ल्या,lyā,4967,s0101m.mul.xml
म्बो,mbo,4914,s0101m.mul.xml
ञु,ñu,4883,s0101m.mul.xml
ण्णो,ṇṇo,4844,s0101m.mul.xml
द्वी,dvī,4819,s0101m.mul.xml
दिं,diṃ,4795,s0101m.mul.xml
वू,vū,4679,s0101m.mul.xml
म्पा,mpā,4618,s0101m.mul.xml
ङ्गं,ṅgaṃ,4543,s0101m.mul.xml
चू,cū,4507,s0101m.mul.xml
प्पु,ppu,4492,s0101m.mul.xml
रिं,riṃ,4490,s0101m.mul.xml
टे,ṭe,4468,s0101m.mul.xml
ण्णे,ṇṇe,4462,s0101m.mul.xml
ङ्गि,ṅgi,4324,s0101m.mul.xml
ङ्गु,ṅgu,4238,s0101m.mul.xml
क्खुं,kkhuṃ,4112,s0101m.mul.xml
नू,nū,4085,s0101m.mul.xml
ङ्का,ṅkā,4078,s0101m.mul.xml
णु,ṇu,4037,s0101m.mul.xml
ण्डं,ṇḍaṃ,3984,s0101m.mul.xml
प्पं,ppaṃ,3963,s0101m.mul.xml
घं,ghaṃ,3923,s0102m.mul.xml
मिं,miṃ,3916,s0101m.mul.xml
भी,bhī,3858,s0101m.mul.xml
त्तुं,ttuṃ,3854,s0101m.mul.xml
यी,yī,3803,s0101m.mul.xml
प्पो,ppo,3799,s0101m.mul.xml
न्धं,ndhaṃ,3777,s0101m.mul.xml
गी,gī,3774,s0101m.mul.xml
म्भा,mbhā,3764,s0101m.mul.xml
ञी,ñī,3698,s0101m.mul.xml
टी,ṭī,3685,s0102m.mul.xml
यिं,yiṃ,3682,s0101m.mul.xml
ब्बु,bbu,3623,s0101m.mul.xml
द्दं,ddaṃ,3543,s0101m.mul.xml
ङ्घे,ṅghe,3542,s0101m.mul.xml
बी,bī,3519,s0101m.mul.xml
म्फ,mpha,3486,s0101m.mul.xml
फा,phā,3429,s0101m.mul.xml
य्युं,yyuṃ,3417,s0101m.mul.xml
टो,ṭo,3349,s0101m.mul.xml
ण्हि,ṇhi,3349,s0102m.mul.xml
ळ्ह,ḷha,3318,s0101m.mul.xml
प्फा,pphā,3243,s0101m.mul.xml
ङ्गी,ṅgī,3184,s0101m.mul.xml
ङ्गो,ṅgo,3180,s0102m.mul.xml
य्ये,yye,3159,s0101m.mul.xml
ञ्हे,ñhe,3153,s0101m.mul.xml
त्थू,tthū,3146,s0101m.mul.xml
त्थुं,tthuṃ,3141,s0101m.mul.xml
छा,chā,3090,s0101m.mul.xml
धिं,dhiṃ,3074,s0101m.mul.xml
ज्झो,jjho,3070,s0101m.mul.xml
निं,niṃ,3065,s0101m.mul.xml
धू,dhū,3049,s0101m.mul.xml
ञू,ñū,3042,s0101m.mul.xml
त्रा,trā,3021,s0101m.mul.xml
ग्घ,ggha,3002,s0101m.mul.xml
ई,ī,2988,s0101m.mul.xml
ङ्खे,ṅkhe,2944,s0101m.mul.xml
ण्ठा,ṇṭhā,2936,s0103m.mul.xml
थू,thū,2883,s0101m.mul.xml
म्भी,mbhī,2862,s0101m.mul.xml
ण्डे,ṇḍe,2834,s0101m.mul.xml
ङ्घं,ṅghaṃ,2824,s0101m.mul.xml
क्खी,kkhī,2806,s0101m.mul.xml
बि,bi,2759,s0101m.mul.xml
यू,yū,2731,s0101m.mul.xml
ऊ,ū,2724,s0102m.mul.xml
भं,bhaṃ,2689,s0101m.mul.xml
ट्ठी,ṭṭhī,2679,s0101m.mul.xml
